,UID,IRR,Life,Payout,ROI,DROI,0.05,0.08,0.09,0.1,0.12,0.15,0.2,0.25,0.3,0.35,0.4,0.5,0.6,0.7,0.8,0.9,1.0
20,81251.0,1.0,50.0,1.75,0.0,0.0,268194.94278182974,223465.69108646107,211718.0644870794,201116.02083907276,182673.21773986646,160164.6925008525,131728.66495953064,110512.64096763206,93972.86255946317,80697.97243176874,69822.51773127538,53162.94387494129,41160.39273162916,32264.411114426937,25537.101131204738,20372.345833433305,16359.893472718364
21,81187.0,1.0,50.0,1.75,0.0,0.0,268194.94278182974,223465.69108646107,211718.0644870794,201116.02083907276,182673.21773986646,160164.6925008525,131728.66495953064,110512.64096763206,93972.86255946317,80697.97243176874,69822.51773127538,53162.94387494129,41160.39273162916,32264.411114426937,25537.101131204738,20372.345833433305,16359.893472718364
22,81305.0,1.0,50.0,1.75,0.0,0.0,268194.94278182974,223465.69108646107,211718.0644870794,201116.02083907276,182673.21773986646,160164.6925008525,131728.66495953064,110512.64096763206,93972.86255946317,80697.97243176874,69822.51773127538,53162.94387494129,41160.39273162916,32264.411114426937,25537.101131204738,20372.345833433305,16359.893472718364
23,81244.0,1.0,50.0,2.75,0.0,0.0,415420.21368364186,338466.0651894782,318172.85979749734,299842.04325292504,267948.7004547363,229113.11952383997,180503.33451152433,144919.3510907838,117861.47749765654,96766.3137735961,80028.42523898916,55649.56121792448,39342.15585059678,28161.82375983826,20359.510315091436,14840.207742979814,10893.240124140453
24,81214.0,1.0,50.0,2.75,0.0,0.0,415420.21368364186,338466.0651894782,318172.85979749734,299842.04325292504,267948.7004547363,229113.11952383997,180503.33451152433,144919.3510907838,117861.47749765654,96766.3137735961,80028.42523898916,55649.56121792448,39342.15585059678,28161.82375983826,20359.510315091436,14840.207742979814,10893.240124140453
25,81324.0,1.0,50.0,2.75,0.0,0.0,415420.21368364186,338466.0651894782,318172.85979749734,299842.04325292504,267948.7004547363,229113.11952383997,180503.33451152433,144919.3510907838,117861.47749765654,96766.3137735961,80028.42523898916,55649.56121792448,39342.15585059678,28161.82375983826,20359.510315091436,14840.207742979814,10893.240124140453
26,81250.0,1.0,50.0,2.75,0.0,0.0,415420.21368364186,338466.0651894782,318172.85979749734,299842.04325292504,267948.7004547363,229113.11952383997,180503.33451152433,144919.3510907838,117861.47749765654,96766.3137735961,80028.42523898916,55649.56121792448,39342.15585059678,28161.82375983826,20359.510315091436,14840.207742979814,10893.240124140453
27,81186.0,1.0,50.0,2.75,0.0,0.0,415420.21368364186,338466.0651894782,318172.85979749734,299842.04325292504,267948.7004547363,229113.11952383997,180503.33451152433,144919.3510907838,117861.47749765654,96766.3137735961,80028.42523898916,55649.56121792448,39342.15585059678,28161.82375983826,20359.510315091436,14840.207742979814,10893.240124140453
28,81245.0,1.0,50.0,2.75,0.0,0.0,254028.4719285614,205297.6705371972,192541.65103441395,181056.08662151638,161160.2497937635,137092.82980974068,107234.25302792153,85581.89992480582,69245.82363127277,56594.60086035421,46615.062851721406,32185.47075958549,22616.13247314019,16103.094643398063,11586.577379063097,8409.437696492269,6148.74878388745
29,81215.0,1.0,50.0,2.75,0.0,0.0,254028.4719285614,205297.6705371972,192541.65103441395,181056.08662151638,161160.2497937635,137092.82980974068,107234.25302792153,85581.89992480582,69245.82363127277,56594.60086035421,46615.062851721406,32185.47075958549,22616.13247314019,16103.094643398063,11586.577379063097,8409.437696492269,6148.74878388745
