,Property_ID,months_of_prod,fit_months,fit_type,Q_guess,Q3,Dei,b-factor
2577,3507325383,46,24,auto_fit_3,449.1229454306377,449.1229454306377,0.5304411564345148,1.1
2578,3507325383,46,12,auto_fit_3,191.55950032873108,191.55950032873108,0.4371943868166521,1.1
2579,3507325383,46,6,auto_fit_3,175.13149243918474,175.13149243918474,0.41267637832131854,1.1
2580,3507325384,50,36,auto_fit_3,95.93688362919131,95.93688362919131,0.5921914097631625,1.1
2581,3507325384,50,24,auto_fit_3,50.04010519395135,50.04010519395135,0.48127837552961106,1.1
2582,3507325384,50,12,auto_fit_3,37.5138067061144,37.5138067061144,0.4141961010842936,1.1
2583,3507325384,50,6,auto_fit_3,20.974030243261012,20.974030243261012,0.37785619387257197,1.1
2584,3507325385,46,36,auto_fit_3,374.1617357001972,374.1617357001972,0.662665194144978,1.1
2585,3507325385,46,24,auto_fit_3,88.55489809335963,88.55489809335963,0.5152572962466009,1.1
2586,3507325385,46,12,auto_fit_3,88.3629191321499,88.3629191321499,0.4383301361531988,1.1
2587,3507325385,46,6,auto_fit_3,88.3629191321499,88.3629191321499,0.40866698295900483,1.1
2588,3507325387,49,36,auto_fit_3,80.04470742932281,80.04470742932281,0.5739923998833089,1.1
2589,3507325387,49,24,auto_fit_3,60.268244575936876,60.268244575936876,0.4756861460494801,1.1
2590,3507325387,49,12,auto_fit_3,36.931295200525966,36.931295200525966,0.40770075057661503,1.1
2591,3507325387,49,6,auto_fit_3,33.30604865220249,33.30604865220249,0.3787180567530486,1.1
2592,3507325388,50,36,auto_fit_3,39.423405654174886,39.423405654174886,0.574977303667023,1.1
2593,3507325388,50,24,auto_fit_3,24.922748191978958,24.922748191978958,0.4715431730113733,1.1
2594,3507325388,50,12,auto_fit_3,24.922748191978958,24.922748191978958,0.40993654684269765,1.1
2595,3507325388,50,6,auto_fit_3,17.446088099934254,17.446088099934254,0.3784080561860197,1.1
2596,3507325391,50,36,auto_fit_3,220.42176199868504,220.42176199868504,0.6013033614306393,1.1
2597,3507325391,50,24,auto_fit_3,79.61505588428665,79.61505588428665,0.4843427786742913,1.1
2598,3507325391,50,12,auto_fit_3,74.6801446416831,74.6801446416831,0.4158766196834647,1.1
2599,3507325391,50,6,auto_fit_3,52.96712689020381,52.96712689020381,0.38923406042500974,1.1
2600,3507325395,51,36,auto_fit_3,116.69953977646284,116.69953977646284,0.5834167650219839,1.1
2601,3507325395,51,24,auto_fit_3,79.32281393819855,79.32281393819855,0.47681269921131086,1.1
2602,3507325395,51,12,auto_fit_3,54.043392504930964,54.043392504930964,0.4128054325193551,1.1
2603,3507325395,51,6,auto_fit_3,46.712689020381326,46.712689020381326,0.38538056749413263,1.1
2604,3507325398,49,36,auto_fit_3,70.71005917159763,70.71005917159763,0.601451649856542,1.1
2605,3507325398,49,24,auto_fit_3,46.778435239973696,46.778435239973696,0.4871302580698551,1.1
2606,3507325398,49,12,auto_fit_3,29.71729125575279,29.71729125575279,0.41568632147704077,1.1
2607,3507325398,49,6,auto_fit_3,29.71729125575279,29.71729125575279,0.38193889520663493,1.1
2608,3507325399,48,36,auto_fit_3,83.46482577251807,83.46482577251807,0.6168462831379125,1.1
2609,3507325399,48,24,auto_fit_3,45.989480604865214,45.989480604865214,0.4929248556427308,1.1
2610,3507325399,48,12,auto_fit_3,29.75016436554898,29.75016436554898,0.41574743460308783,1.1
2611,3507325399,48,6,auto_fit_3,23.208415516107824,23.208415516107824,0.39062363903490804,1.1
2612,3507325400,48,36,auto_fit_3,71.17028270874424,71.17028270874424,0.615256723059535,1.1
2613,3507325400,48,24,auto_fit_3,40.99276791584484,40.99276791584484,0.4913541827095047,1.1
2614,3507325400,48,12,auto_fit_3,25.14792899408284,25.14792899408284,0.41574743460308783,1.1
2615,3507325400,48,6,auto_fit_3,23.044049967126888,23.044049967126888,0.38855887404661815,1.1
2616,3507325402,47,36,auto_fit_3,286.3905325443787,286.3905325443787,0.6436327806123464,1.1
2617,3507325402,47,24,auto_fit_3,85.33859303090073,85.33859303090073,0.5034135153468329,1.1
2618,3507325402,47,12,auto_fit_3,72.61669953977646,72.61669953977646,0.43198982169352207,1.1
2619,3507325402,47,6,auto_fit_3,72.61669953977646,72.61669953977646,0.4027471078840339,1.1
2620,3507325404,50,36,auto_fit_3,98.15910585141354,98.15910585141354,0.5924204015453538,1.1
2621,3507325404,50,24,auto_fit_3,57.232084155161076,57.232084155161076,0.48262127418104384,1.1
2622,3507325404,50,12,auto_fit_3,42.86653517422748,42.86653517422748,0.4123626276214791,1.1
2623,3507325404,50,6,auto_fit_3,39.612097304405,39.612097304405,0.3898184907964024,1.1
2624,3507325409,48,36,auto_fit_3,84.02366863905326,84.02366863905326,0.6169169548101434,1.1
2625,3507325409,48,24,auto_fit_3,60.618014464168304,60.618014464168304,0.4944334022474999,1.1
2626,3507325409,48,12,auto_fit_3,60.618014464168304,60.618014464168304,0.41838719173003014,1.1
2627,3507325409,48,6,auto_fit_3,48.38921761998685,48.38921761998685,0.3930455774746562,1.1
2628,3507325413,46,36,auto_fit_3,377.81065088757396,377.81065088757396,0.662762244087035,1.1
2629,3507325413,46,24,auto_fit_3,167.02827087442472,167.02827087442472,0.5216027003228703,1.1
2630,3507325413,46,12,auto_fit_3,69.65811965811966,69.65811965811966,0.434961294746665,1.1
2631,3507325413,46,6,auto_fit_3,53.58316896778435,53.58316896778435,0.4084307532655824,1.1
2632,3507325415,47,36,auto_fit_3,160.97961867192635,160.97961867192635,0.6368690241803929,1.1
2633,3507325415,47,24,auto_fit_3,141.0585141354372,141.0585141354372,0.5039516828062434,1.1
2634,3507325415,47,12,auto_fit_3,62.19592373438527,62.19592373438527,0.41892964322787396,1.1
2635,3507325415,47,6,auto_fit_3,60.68376068376068,60.68376068376068,0.39082051084815816,1.1
2636,3507325419,48,36,auto_fit_3,76.79158448389217,76.79158448389217,0.609827751027773,1.1
2637,3507325419,48,24,auto_fit_3,34.84549638395792,34.84549638395792,0.4872669507292273,1.1
2638,3507325419,48,12,auto_fit_3,23.898750821827743,23.898750821827743,0.41883274098882106,1.1
2639,3507325419,48,6,auto_fit_3,19.03353057199211,19.03353057199211,0.3864388380196646,1.1
2640,3507325420,43,36,auto_fit_3,741.3543721236028,741.3543721236028,0.7301774143230466,1.1
2641,3507325420,43,24,auto_fit_3,242.73504273504273,242.73504273504273,0.5503027239561951,1.1
2642,3507325420,43,12,auto_fit_3,93.75410913872452,93.75410913872452,0.45788643573675225,1.1
2643,3507325420,43,6,auto_fit_3,92.96515450361603,92.96515450361603,0.4247994915398874,1.1
2644,3507325425,50,36,auto_fit_3,278.26331360946745,278.26331360946745,0.6028401829993145,1.1
2645,3507325425,50,24,auto_fit_3,185.0032873109796,185.0032873109796,0.4943538635933633,1.1
2646,3507325425,50,12,auto_fit_3,125.02136752136752,125.02136752136752,0.4262338572724911,1.1
2647,3507325425,50,6,auto_fit_3,115.31097961867192,115.31097961867192,0.3988782622797098,1.1
2648,3507325427,46,36,auto_fit_3,95.33201840894148,95.33201840894148,0.6478873908175093,1.1
2649,3507325427,46,24,auto_fit_3,91.97896120973043,91.97896120973043,0.515132942003842,1.1
2650,3507325427,46,12,auto_fit_3,67.94871794871794,67.94871794871794,0.43789258288974686,1.1
2651,3507325427,46,6,auto_fit_3,67.94871794871794,67.94871794871794,0.3938095696298425,1.1
